,Original index,pm-Containers.pLMN-Identity,list-of-matched-UEs.ueId,cellObjectID,timestamp,list-of-matched-UEs.pmType,pm-Containers.QCI,pm-Containers.dl-PRBUsage,pm-Containers.ul-PRBUsage,pm-Containers.dl-TotalofAvailablePRBs,pm-Containers.ul-TotalofAvailablePRBs,pm-Containers.nRCGI.nRCellIdentity,list-of-matched-UEs.pmVal,Test ID
58,310,b'111',b'00006',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',508.0,4
59,311,b'111',b'00007',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1166.0,4
60,312,b'111',b'00003',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',349.0,4
61,313,b'111',b'00011',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',6144.0,4
62,326,b'111',b'00001',1115,1700747217.665808,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1390.0,4
63,327,b'111',b'00012',1115,1700747217.665808,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',3410.0,4
64,328,b'111',b'00002',1115,1700747217.665808,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',6925.0,4
65,329,b'111',b'00010',1115,1700747217.665808,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',9147.0,4
66,362,b'111',b'00003',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',341.0,4
67,363,b'111',b'00006',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',465.0,4
68,364,b'111',b'00004',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',517.0,4
69,365,b'111',b'00007',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1568.0,4
70,366,b'111',b'00011',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',7008.0,4
71,367,b'111',b'00005',1112,1700747241.9246092,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',4540.0,4
