,Original index,pm-Containers.drbqci,pm-Containers.pDCPBytesDL,pm-Containers.pDCPBytesUL,pm-Containers.pLMN-Identity,pm-Containers.interface-type,list-of-matched-UEs.ueId,timestamp,Test ID
109,505,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747322.9147904,4
110,550,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747347.2649171,4
111,551,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747347.2649171,4
112,552,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747347.2649171,4
113,553,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747347.2649171,4
114,554,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747347.2649171,4
115,555,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747347.2649171,4
116,556,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747347.2777667,4
117,557,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747347.2777667,4
118,558,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747347.2887805,4
119,559,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747347.2887805,4
120,560,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747347.29959,4
121,605,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747375.666988,4
122,606,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747375.666988,4
123,607,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747375.666988,4
124,608,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747375.666988,4
125,609,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747375.6806262,4
126,610,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747375.6806262,4
127,611,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747375.6806262,4
128,612,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747375.6916225,4
129,613,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747375.6916225,4
130,614,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747375.6916225,4
131,615,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747375.7025752,4
132,660,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747400.0497334,4
133,661,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747400.0497334,4
134,662,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747400.0497334,4
135,663,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747400.0497334,4
136,664,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747400.0497334,4
137,665,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747400.074932,4
138,666,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747400.074932,4
139,667,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747400.074932,4
140,668,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747400.074932,4
141,669,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747400.074932,4
142,670,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747400.0863526,4
143,715,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747428.4971912,4
144,716,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747428.4971912,4
145,717,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747428.4971912,4
146,718,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747428.4971912,4
147,719,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747428.4971912,4
148,720,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747428.4971912,4
149,721,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747428.5110867,4
150,722,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747428.5246923,4
151,723,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747428.5246923,4
152,724,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747428.5246923,4
153,725,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747428.5370047,4
154,770,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747452.8970242,4
155,771,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747452.8970242,4
156,772,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747452.8970242,4
157,773,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747452.8970242,4
158,774,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747452.8970242,4
159,775,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747452.8970242,4
160,776,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747452.911129,4
161,777,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747452.923969,4
162,778,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747452.923969,4
163,779,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747452.923969,4
164,780,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747452.9363432,4
165,825,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747485.3629825,4
166,826,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747485.3629825,4
167,827,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747485.3629825,4
168,828,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747485.3629825,4
169,829,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747485.3629825,4
170,830,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747485.3774965,4
171,831,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747485.3774965,4
172,832,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747485.390506,4
173,833,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747485.390506,4
174,834,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747485.390506,4
175,835,0.0,0.0,0.0,b'111',x2-u,b'00008',1700747485.390506,4
176,836,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747485.402173,4
177,885,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747513.8149626,4
178,886,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747513.8149626,4
179,887,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747513.8149626,4
180,888,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747513.8149626,4
181,889,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747513.8149626,4
182,890,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747513.831524,4
183,891,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747513.831524,4
184,892,0.0,0.0,0.0,b'111',x2-u,b'00008',1700747513.8454456,4
185,893,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747513.8454456,4
186,894,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747513.8454456,4
187,895,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747513.8454456,4
188,896,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747513.8618555,4
189,945,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747542.3082569,4
190,946,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747542.3082569,4
191,947,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747542.3082569,4
192,948,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747542.3082569,4
193,949,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747542.3238635,4
194,950,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747542.3238635,4
195,951,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747542.3374388,4
