,Original index,list-of-matched-UEs.ueId,cellObjectID,timestamp,pm-Containers.numberOfActive-UEs,list-of-matched-UEs.rrcEvent,list-of-matched-UEs.pmType,list-of-matched-UEs.measResultNeighCells.resultsSSB-Cell.sinr,list-of-matched-UEs.measResultNeighCells.physCellId,Test ID
99,176,b'00005',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,3.0,4
100,177,b'00005',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,5.0,4
101,178,b'00005',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
102,179,b'00006',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,5.0,4
103,180,b'00006',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
104,181,b'00006',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
105,182,b'00004',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,58.0,5.0,4
106,183,b'00004',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
107,184,b'00004',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
108,185,b'00009',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
109,186,b'00009',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,3.0,4
110,187,b'00009',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
111,188,b'00012',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,5.0,4
112,189,b'00012',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
113,190,b'00012',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
114,191,b'00007',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,4.0,4
115,192,b'00007',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
116,193,b'00007',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
117,194,b'00011',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,3.0,4
118,195,b'00011',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,5.0,4
119,196,b'00011',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
120,204,b'00010',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,4.0,4
121,205,b'00010',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,2.0,4
122,206,b'00010',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
123,207,b'00003',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,49.0,2.0,4
124,208,b'00003',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
125,209,b'00003',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
126,210,b'00001',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
127,211,b'00001',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,2.0,4
128,212,b'00001',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,5.0,4.0,4
129,213,b'00002',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
130,214,b'00002',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,2.0,4
131,215,b'00002',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,4
132,231,b'00012',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,5.0,4
133,232,b'00012',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
134,233,b'00012',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
135,234,b'00007',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,4.0,4
136,235,b'00007',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
137,236,b'00007',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
138,237,b'00011',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,32.0,3.0,4
139,238,b'00011',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,5.0,4
140,239,b'00011',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,4
141,240,b'00004',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,55.0,5.0,4
142,241,b'00004',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
143,242,b'00004',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
144,243,b'00006',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,5.0,4
145,244,b'00006',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
146,245,b'00006',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
147,246,b'00005',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,3.0,4
148,247,b'00005',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,5.0,4
149,248,b'00005',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
150,249,b'00003',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,5.0,4
151,250,b'00003',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
152,251,b'00003',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
153,252,b'00009',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
154,253,b'00009',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,3.0,4
155,254,b'00009',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
156,263,b'00010',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,4.0,4
157,264,b'00010',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,2.0,4
158,265,b'00010',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
159,266,b'00001',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
160,267,b'00001',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,2.0,4
161,268,b'00001',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
162,269,b'00002',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,3.0,4
163,270,b'00002',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,2.0,4
164,271,b'00002',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,4
165,286,b'00005',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,3.0,4
166,287,b'00005',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,5.0,4
167,288,b'00005',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
