,DRB QCI,DL PCDP Bytes,UL PDCP Bytes,PLMN ID,Interface type,UE ID,Timestamp,Test ID
403,0.0,0.0,0.0,b'111',x2-u,b'00012',377.2926902770996,2
404,0.0,0.0,0.0,b'111',x2-u,b'00007',409.75066018104553,2
405,0.0,0.0,0.0,b'111',x2-u,b'00003',409.76606702804565,2
406,0.0,0.0,0.0,b'111',x2-u,b'00001',409.76606702804565,2
407,0.0,0.0,0.0,b'111',x2-u,b'00004',409.7800033092499,2
408,0.0,0.0,0.0,b'111',x2-u,b'00010',409.7800033092499,2
409,0.0,0.0,0.0,b'111',x2-u,b'00008',409.7800033092499,2
410,0.0,0.0,0.0,b'111',x2-u,b'00002',409.7800033092499,2
411,0.0,0.0,0.0,b'111',x2-u,b'00006',409.79398918151855,2
412,0.0,0.0,0.0,b'111',x2-u,b'00005',409.79398918151855,2
413,0.0,0.0,0.0,b'111',x2-u,b'00009',409.79398918151855,2
414,0.0,0.0,0.0,b'111',x2-u,b'00012',409.79398918151855,2
415,0.0,0.0,0.0,b'111',x2-u,b'00011',409.79398918151855,2
416,0.0,0.0,0.0,b'111',x2-u,b'00007',438.21922993659973,2
417,0.0,0.0,0.0,b'111',x2-u,b'00003',438.2343511581421,2
418,0.0,0.0,0.0,b'111',x2-u,b'00001',438.2343511581421,2
419,0.0,0.0,0.0,b'111',x2-u,b'00010',438.2484984397888,2
420,0.0,0.0,0.0,b'111',x2-u,b'00002',438.2484984397888,2
421,0.0,0.0,0.0,b'111',x2-u,b'00004',438.2484984397888,2
422,0.0,0.0,0.0,b'111',x2-u,b'00008',438.2484984397888,2
423,0.0,0.0,0.0,b'111',x2-u,b'00012',438.2626414299011,2
424,0.0,0.0,0.0,b'111',x2-u,b'00011',438.2626414299011,2
425,0.0,0.0,0.0,b'111',x2-u,b'00005',438.2626414299011,2
426,0.0,0.0,0.0,b'111',x2-u,b'00009',438.2626414299011,2
427,0.0,0.0,0.0,b'111',x2-u,b'00006',438.2626414299011,2
428,0.0,0.0,0.0,b'111',x2-u,b'00007',466.6965141296387,2
429,0.0,0.0,0.0,b'111',x2-u,b'00003',466.7120349407196,2
430,0.0,0.0,0.0,b'111',x2-u,b'00001',466.7120349407196,2
431,0.0,0.0,0.0,b'111',x2-u,b'00002',466.72615599632263,2
432,0.0,0.0,0.0,b'111',x2-u,b'00010',466.72615599632263,2
433,0.0,0.0,0.0,b'111',x2-u,b'00006',466.72615599632263,2
434,0.0,0.0,0.0,b'111',x2-u,b'00004',466.72615599632263,2
435,0.0,0.0,0.0,b'111',x2-u,b'00008',466.72615599632263,2
436,0.0,0.0,0.0,b'111',x2-u,b'00012',466.7403094768524,2
437,0.0,0.0,0.0,b'111',x2-u,b'00005',466.7403094768524,2
438,0.0,0.0,0.0,b'111',x2-u,b'00006',466.7403094768524,2
439,0.0,0.0,0.0,b'111',x2-u,b'00011',466.7403094768524,2
440,0.0,0.0,0.0,b'111',x2-u,b'00009',466.7403094768524,2
441,0.0,0.0,0.0,b'111',x2-u,b'00007',495.1965320110321,2
442,0.0,0.0,0.0,b'111',x2-u,b'00001',495.2131907939911,2
443,0.0,0.0,0.0,b'111',x2-u,b'00005',495.2131907939911,2
444,0.0,0.0,0.0,b'111',x2-u,b'00004',495.22797203063965,2
445,0.0,0.0,0.0,b'111',x2-u,b'00002',495.22797203063965,2
446,0.0,0.0,0.0,b'111',x2-u,b'00008',495.22797203063965,2
447,0.0,0.0,0.0,b'111',x2-u,b'00010',495.22797203063965,2
448,0.0,0.0,0.0,b'111',x2-u,b'00011',495.2426645755768,2
