,UE ID,Cell object ID,Timestamp,Number of active UEs,RRC Event,UE Performance Measurement type,Neighbor cells SINR,Neighbor cell physical cell ID,Test ID
184,b'00004',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,59.0,5.0,4
185,b'00007',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
186,b'00001',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,4
187,b'00001',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
188,b'00010',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
189,b'00010',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,2.0,4
190,b'00002',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,4
191,b'00002',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
192,b'00002',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,2.0,4
193,b'00012',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,2.0,4
194,b'00012',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,3.0,4
195,b'00010',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,4.0,4
196,b'00001',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,2.0,4
197,b'00012',NRCellCU,1700747217.652319,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
198,b'00004',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
199,b'00011',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
200,b'00006',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,5.0,4
201,b'00007',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,4.0,4
202,b'00005',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,3.0,4
203,b'00004',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,3.0,4
204,b'00005',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
205,b'00003',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,5.0,4
206,b'00003',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
207,b'00011',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,3.0,4
208,b'00006',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
209,b'00009',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
210,b'00007',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
211,b'00007',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
212,b'00004',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,59.0,5.0,4
213,b'00005',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
214,b'00006',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
215,b'00009',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,4.0,4
216,b'00011',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,5.0,4
217,b'00009',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,26.0,3.0,4
218,b'00003',NRCellCU,1700747241.9073842,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,4
219,b'00012',NRCellCU,1700747241.942895,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
